cohort_month,months_out,eligible_accounts,retained_accounts,retention_pct
2023-01-01,1,17,16.0,94.1
2023-01-01,3,17,15.0,88.2
2023-01-01,6,17,12.0,70.6
2023-01-01,12,17,7.0,41.2
2023-02-01,1,18,17.0,94.4
2023-02-01,3,18,15.0,83.3
2023-02-01,6,18,14.0,77.8
2023-02-01,12,18,9.0,50.0
2023-03-01,1,20,17.0,85.0
2023-03-01,3,20,14.0,70.0
2023-03-01,6,20,9.0,45.0
2023-03-01,12,20,4.0,20.0
2023-04-01,1,15,14.0,93.3
2023-04-01,3,15,12.0,80.0
2023-04-01,6,15,12.0,80.0
2023-04-01,12,15,12.0,80.0
2023-05-01,1,26,26.0,100.0
2023-05-01,3,26,23.0,88.5
2023-05-01,6,26,22.0,84.6
2023-05-01,12,26,17.0,65.4
2023-06-01,1,13,13.0,100.0
2023-06-01,3,13,12.0,92.3
2023-06-01,6,13,11.0,84.6
2023-06-01,12,13,9.0,69.2
2023-07-01,1,14,12.0,85.7
2023-07-01,3,14,12.0,85.7
2023-07-01,6,14,10.0,71.4
2023-07-01,12,14,7.0,50.0
2023-08-01,1,16,16.0,100.0
2023-08-01,3,16,15.0,93.8
2023-08-01,6,16,12.0,75.0
2023-08-01,12,16,7.0,43.8
2023-09-01,1,23,21.0,91.3
2023-09-01,3,23,17.0,73.9
2023-09-01,6,23,13.0,56.5
2023-09-01,12,23,7.0,30.4
2023-10-01,1,20,18.0,90.0
2023-10-01,3,20,16.0,80.0
2023-10-01,6,20,11.0,55.0
2023-10-01,12,20,4.0,20.0
2023-11-01,1,25,23.0,92.0
2023-11-01,3,25,18.0,72.0
2023-11-01,6,25,14.0,56.0
2023-11-01,12,25,6.0,24.0
2023-12-01,1,20,16.0,80.0
2023-12-01,3,20,13.0,65.0
2023-12-01,6,20,9.0,45.0
2023-12-01,12,20,4.0,20.0
2024-01-01,1,16,15.0,93.8
2024-01-01,3,16,13.0,81.3
2024-01-01,6,16,7.0,43.8
2024-01-01,12,0,,
2024-02-01,1,13,12.0,92.3
2024-02-01,3,13,9.0,69.2
2024-02-01,6,13,6.0,46.2
2024-02-01,12,0,,
2024-03-01,1,27,21.0,77.8
2024-03-01,3,27,17.0,63.0
2024-03-01,6,27,11.0,40.7
2024-03-01,12,0,,
2024-04-01,1,22,18.0,81.8
2024-04-01,3,22,13.0,59.1
2024-04-01,6,22,7.0,31.8
2024-04-01,12,0,,
2024-05-01,1,22,17.0,77.3
2024-05-01,3,22,11.0,50.0
2024-05-01,6,22,9.0,40.9
2024-05-01,12,0,,
2024-06-01,1,21,17.0,81.0
2024-06-01,3,21,11.0,52.4
2024-06-01,6,21,6.0,28.6
2024-06-01,12,0,,
2024-07-01,1,26,22.0,84.6
2024-07-01,3,26,14.0,53.8
2024-07-01,6,0,,
2024-07-01,12,0,,
2024-08-01,1,21,16.0,76.2
2024-08-01,3,21,10.0,47.6
2024-08-01,6,0,,
2024-08-01,12,0,,
2024-09-01,1,25,13.0,52.0
2024-09-01,3,25,5.0,20.0
2024-09-01,6,0,,
2024-09-01,12,0,,
2024-10-01,1,31,24.0,77.4
2024-10-01,3,0,,
2024-10-01,6,0,,
2024-10-01,12,0,,
2024-11-01,1,32,17.0,53.1
2024-11-01,3,0,,
2024-11-01,6,0,,
2024-11-01,12,0,,
2024-12-01,1,0,,
2024-12-01,3,0,,
2024-12-01,6,0,,
2024-12-01,12,0,,
