month_start,plan_tier,mrr,mom_growth_pct
2023-01-01,All,4684.0,
2023-02-01,All,15763.0,236.53
2023-03-01,All,41648.0,164.21
2023-04-01,All,83436.0,100.34
2023-05-01,All,169110.0,102.68
2023-06-01,All,244097.0,44.34
2023-07-01,All,363343.0,48.85
2023-08-01,All,528736.0,45.52
2023-09-01,All,644272.0,21.85
2023-10-01,All,826790.0,28.33
2023-11-01,All,1038507.0,25.61
2023-12-01,All,1282212.0,23.47
2024-01-01,All,1539046.0,20.03
2024-02-01,All,1888127.0,22.68
2024-03-01,All,2295694.0,21.59
2024-04-01,All,2722124.0,18.58
2024-05-01,All,3339785.0,22.69
2024-06-01,All,3854007.0,15.4
2024-07-01,All,4541221.0,17.83
2024-08-01,All,5161618.0,13.66
2024-09-01,All,6113247.0,18.44
2024-10-01,All,7208953.0,17.92
2024-11-01,All,8647936.0,19.96
2024-12-01,All,10734251.0,24.13
2023-01-01,Basic,171.0,
2023-02-01,Basic,741.0,333.33
2023-03-01,Basic,2603.0,251.28
2023-04-01,Basic,6935.0,166.42
2023-05-01,Basic,10925.0,57.53
2023-06-01,Basic,20900.0,91.3
2023-07-01,Basic,31825.0,52.27
2023-08-01,Basic,42997.0,35.1
2023-09-01,Basic,53390.0,24.17
2023-10-01,Basic,69673.0,30.5
2023-11-01,Basic,84208.0,20.86
2023-12-01,Basic,103284.0,22.65
2024-01-01,Basic,124735.0,20.77
2024-02-01,Basic,139536.0,11.87
2024-03-01,Basic,161006.0,15.39
2024-04-01,Basic,191045.0,18.66
2024-05-01,Basic,219108.0,14.69
2024-06-01,Basic,254695.0,16.24
2024-07-01,Basic,303126.0,19.02
2024-08-01,Basic,358036.0,18.11
2024-09-01,Basic,425581.0,18.87
2024-10-01,Basic,496071.0,16.56
2024-11-01,Basic,583167.0,17.56
2024-12-01,Basic,711569.0,22.02
2023-01-01,Enterprise,3582.0,
2023-02-01,Enterprise,8358.0,133.33
2023-03-01,Enterprise,25472.0,204.76
2023-04-01,Enterprise,49551.0,94.53
2023-05-01,Enterprise,114624.0,131.33
2023-06-01,Enterprise,159399.0,39.06
2023-07-01,Enterprise,245964.0,54.31
2023-08-01,Enterprise,383672.0,55.99
2023-09-01,Enterprise,457700.0,19.29
2023-10-01,Enterprise,596005.0,30.22
2023-11-01,Enterprise,752419.0,26.24
2023-12-01,Enterprise,925549.0,23.01
2024-01-01,Enterprise,1113206.0,20.28
2024-02-01,Enterprise,1379866.0,23.95
2024-03-01,Enterprise,1696873.0,22.97
2024-04-01,Enterprise,2040148.0,20.23
2024-05-01,Enterprise,2510186.0,23.04
2024-06-01,Enterprise,2890674.0,15.16
2024-07-01,Enterprise,3385985.0,17.13
2024-08-01,Enterprise,3816820.0,12.72
2024-09-01,Enterprise,4543369.0,19.04
2024-10-01,Enterprise,5387726.0,18.58
2024-11-01,Enterprise,6514066.0,20.91
2024-12-01,Enterprise,8020297.0,23.12
2023-01-01,Pro,931.0,
2023-02-01,Pro,6664.0,615.79
2023-03-01,Pro,13573.0,103.68
2023-04-01,Pro,26950.0,98.56
2023-05-01,Pro,43561.0,61.64
2023-06-01,Pro,63798.0,46.46
2023-07-01,Pro,85554.0,34.1
2023-08-01,Pro,102067.0,19.3
2023-09-01,Pro,133182.0,30.48
2023-10-01,Pro,161112.0,20.97
2023-11-01,Pro,201880.0,25.3
2023-12-01,Pro,253379.0,25.51
2024-01-01,Pro,301105.0,18.84
2024-02-01,Pro,368725.0,22.46
2024-03-01,Pro,437815.0,18.74
2024-04-01,Pro,490931.0,12.13
2024-05-01,Pro,610491.0,24.35
2024-06-01,Pro,708638.0,16.08
2024-07-01,Pro,852110.0,20.25
2024-08-01,Pro,986762.0,15.8
2024-09-01,Pro,1144297.0,15.96
2024-10-01,Pro,1325156.0,15.81
2024-11-01,Pro,1550703.0,17.02
2024-12-01,Pro,2002385.0,29.13
