feature_name,usage_events,total_usage_count,avg_duration_secs,total_errors,error_rate_pct,usage_rank
feature_32,659,6686.0,3114.3,357.0,5.34,1
feature_15,640,6621.0,3073.4,349.0,5.27,2
feature_6,655,6546.0,3074.8,339.0,5.18,3
feature_20,643,6541.0,3028.3,308.0,4.71,4
feature_34,650,6536.0,3087.3,397.0,6.07,5
feature_12,659,6534.0,3128.2,359.0,5.49,6
feature_11,643,6533.0,3130.3,352.0,5.39,7
feature_2,642,6525.0,3015.1,401.0,6.15,8
feature_38,643,6478.0,3020.6,356.0,5.5,9
feature_26,649,6470.0,3045.3,417.0,6.45,10
feature_17,651,6458.0,2996.7,369.0,5.71,11
feature_39,631,6430.0,3082.8,357.0,5.55,12
feature_31,644,6425.0,2848.6,335.0,5.21,13
feature_36,648,6389.0,2893.3,371.0,5.81,14
feature_24,643,6388.0,3219.7,349.0,5.46,15
feature_10,634,6384.0,2954.9,348.0,5.45,16
feature_37,636,6380.0,3049.8,306.0,4.8,17
feature_4,625,6374.0,3149.8,418.0,6.56,18
feature_22,636,6366.0,2973.2,343.0,5.39,19
feature_1,629,6364.0,2920.2,336.0,5.28,20
feature_29,640,6362.0,2998.8,371.0,5.83,21
feature_30,629,6309.0,3010.3,362.0,5.74,22
feature_33,635,6274.0,3091.8,336.0,5.36,23
feature_16,622,6273.0,3139.1,396.0,6.31,24
feature_27,611,6231.0,3202.7,362.0,5.81,25
feature_40,621,6222.0,3109.8,380.0,6.11,26
feature_28,623,6213.0,3058.8,361.0,5.81,27
feature_9,624,6207.0,3007.1,404.0,6.51,28
feature_7,619,6113.0,3047.7,311.0,5.09,29
feature_13,612,6099.0,2962.4,372.0,6.1,30
feature_25,615,6091.0,3001.7,344.0,5.65,31
feature_8,596,6030.0,3150.5,284.0,4.71,32
feature_21,591,5950.0,3077.3,349.0,5.87,33
feature_3,598,5917.0,2987.1,345.0,5.83,34
feature_19,589,5900.0,3027.8,352.0,5.97,35
feature_14,600,5880.0,2989.0,307.0,5.22,36
feature_18,588,5850.0,2994.8,369.0,6.31,37
feature_35,587,5816.0,2953.0,313.0,5.38,38
feature_5,577,5759.0,3081.9,316.0,5.49,39
feature_23,563,5601.0,2980.2,306.0,5.46,40
