industry,plan_tier,quarter,feature_name,total_usage,feature_rank
Cybersecurity,Basic,2023-01-01,feature_4,83.0,1
Cybersecurity,Basic,2023-01-01,feature_15,80.0,2
Cybersecurity,Basic,2023-01-01,feature_20,79.0,3
Cybersecurity,Basic,2023-04-01,feature_37,112.0,1
Cybersecurity,Basic,2023-04-01,feature_3,107.0,2
Cybersecurity,Basic,2023-04-01,feature_16,105.0,3
Cybersecurity,Basic,2023-07-01,feature_24,101.0,1
Cybersecurity,Basic,2023-07-01,feature_26,89.0,2
Cybersecurity,Basic,2023-07-01,feature_11,87.0,3
Cybersecurity,Basic,2023-10-01,feature_5,100.0,1
Cybersecurity,Basic,2023-10-01,feature_12,85.0,2
Cybersecurity,Basic,2023-10-01,feature_34,80.0,3
Cybersecurity,Basic,2024-01-01,feature_39,112.0,1
Cybersecurity,Basic,2024-01-01,feature_27,93.0,2
Cybersecurity,Basic,2024-01-01,feature_16,81.0,3
Cybersecurity,Basic,2024-04-01,feature_13,105.0,1
Cybersecurity,Basic,2024-04-01,feature_21,87.0,2
Cybersecurity,Basic,2024-04-01,feature_39,82.0,3
Cybersecurity,Basic,2024-07-01,feature_33,143.0,1
Cybersecurity,Basic,2024-07-01,feature_32,92.0,2
Cybersecurity,Basic,2024-07-01,feature_18,78.0,3
Cybersecurity,Basic,2024-10-01,feature_9,88.0,1
Cybersecurity,Basic,2024-10-01,feature_6,87.0,2
Cybersecurity,Basic,2024-10-01,feature_21,84.0,3
Cybersecurity,Enterprise,2023-01-01,feature_34,111.0,1
Cybersecurity,Enterprise,2023-01-01,feature_10,104.0,2
Cybersecurity,Enterprise,2023-01-01,feature_36,85.0,3
Cybersecurity,Enterprise,2023-04-01,feature_11,115.0,1
Cybersecurity,Enterprise,2023-04-01,feature_32,114.0,2
Cybersecurity,Enterprise,2023-04-01,feature_20,90.0,3
Cybersecurity,Enterprise,2023-04-01,feature_25,90.0,3
Cybersecurity,Enterprise,2023-07-01,feature_15,130.0,1
Cybersecurity,Enterprise,2023-07-01,feature_7,107.0,2
Cybersecurity,Enterprise,2023-07-01,feature_19,86.0,3
Cybersecurity,Enterprise,2023-10-01,feature_26,102.0,1
Cybersecurity,Enterprise,2023-10-01,feature_14,99.0,2
Cybersecurity,Enterprise,2023-10-01,feature_4,89.0,3
