month_start,referral_source,mrr
2023-02-01,ads,494.0
2023-03-01,ads,2160.0
2023-04-01,ads,2405.0
2023-05-01,ads,22112.0
2023-06-01,ads,31885.0
2023-07-01,ads,75202.0
2023-08-01,ads,104674.0
2023-09-01,ads,140241.0
2023-10-01,ads,194030.0
2023-11-01,ads,213713.0
2023-12-01,ads,310568.0
2024-01-01,ads,357815.0
2024-02-01,ads,442542.0
2024-03-01,ads,538265.0
2024-04-01,ads,605648.0
2024-05-01,ads,687909.0
2024-06-01,ads,818308.0
2024-07-01,ads,1019877.0
2024-08-01,ads,1161878.0
2024-09-01,ads,1345490.0
2024-10-01,ads,1535694.0
2024-11-01,ads,1706252.0
2024-12-01,ads,2038256.0
2023-02-01,event,686.0
2023-03-01,event,15109.0
2023-04-01,event,24288.0
2023-05-01,event,50833.0
2023-06-01,event,59494.0
2023-07-01,event,73941.0
2023-08-01,event,106739.0
2023-09-01,event,137379.0
2023-10-01,event,162845.0
2023-11-01,event,201342.0
2023-12-01,event,250362.0
2024-01-01,event,262878.0
2024-02-01,event,330671.0
2024-03-01,event,400714.0
2024-04-01,event,456857.0
2024-05-01,event,539087.0
2024-06-01,event,619487.0
2024-07-01,event,707048.0
2024-08-01,event,823096.0
2024-09-01,event,917650.0
2024-10-01,event,1091005.0
2024-11-01,event,1428640.0
2024-12-01,event,1793899.0
2023-01-01,organic,3753.0
2023-02-01,organic,10498.0
2023-03-01,organic,12173.0
2023-04-01,organic,19407.0
2023-05-01,organic,38759.0
2023-06-01,organic,63032.0
2023-07-01,organic,79605.0
2023-08-01,organic,104489.0
2023-09-01,organic,122170.0
2023-10-01,organic,192429.0
2023-11-01,organic,263185.0
2023-12-01,organic,286308.0
2024-01-01,organic,351728.0
2024-02-01,organic,439746.0
2024-03-01,organic,509477.0
2024-04-01,organic,626104.0
2024-05-01,organic,828107.0
2024-06-01,organic,954228.0
2024-07-01,organic,1096255.0
2024-08-01,organic,1199267.0
2024-09-01,organic,1473123.0
2024-10-01,organic,1730197.0
2024-11-01,organic,2076784.0
2024-12-01,organic,2630553.0
2023-01-01,other,931.0
2023-02-01,other,931.0
2023-03-01,other,6500.0
2023-04-01,other,15106.0
2023-05-01,other,25230.0
2023-06-01,other,48622.0
2023-07-01,other,74888.0
2023-08-01,other,104370.0
2023-09-01,other,120791.0
2023-10-01,other,135604.0
2023-11-01,other,180187.0
2023-12-01,other,220178.0
2024-01-01,other,276991.0
2024-02-01,other,330044.0
2024-03-01,other,409765.0
2024-04-01,other,509068.0
2024-05-01,other,636701.0
2024-06-01,other,726179.0
2024-07-01,other,854245.0
2024-08-01,other,977978.0
2024-09-01,other,1205381.0
2024-10-01,other,1528972.0
2024-11-01,other,1859997.0
2024-12-01,other,2262842.0
2023-02-01,partner,3154.0
2023-03-01,partner,5706.0
2023-04-01,partner,22230.0
2023-05-01,partner,32176.0
2023-06-01,partner,41064.0
2023-07-01,partner,59707.0
2023-08-01,partner,108464.0
2023-09-01,partner,123691.0
2023-10-01,partner,141882.0
2023-11-01,partner,180080.0
2023-12-01,partner,214796.0
2024-01-01,partner,289634.0
2024-02-01,partner,345124.0
2024-03-01,partner,437473.0
2024-04-01,partner,524447.0
2024-05-01,partner,647981.0
2024-06-01,partner,735805.0
2024-07-01,partner,863796.0
2024-08-01,partner,999399.0
2024-09-01,partner,1171603.0
2024-10-01,partner,1323085.0
2024-11-01,partner,1576263.0
2024-12-01,partner,2008701.0
