account_id,industry,plan_tier,churn_flag,monetary,recency_days,frequency,recency_score,frequency_score,monetary_score,rfm_total,rfm_code
A-0651a4,HealthTech,Pro,False,12935,15,69,2,5,5,12,255
A-503d5a,FinTech,Enterprise,True,11144,16,59,2,4,5,11,245
A-9b9fe9,EdTech,Basic,False,9950,16,58,2,4,5,11,245
A-86902e,HealthTech,Enterprise,False,6766,19,63,2,4,5,11,245
A-54ecc2,Cybersecurity,Enterprise,False,5572,22,56,2,4,5,11,245
A-474ad4,EdTech,Basic,False,4776,20,64,2,4,5,11,245
A-40906c,EdTech,Basic,False,4508,28,63,1,4,5,10,145
A-ac85cd,EdTech,Enterprise,False,4165,34,63,1,4,5,10,145
A-4e44e8,DevTools,Enterprise,True,3383,37,69,1,5,4,10,154
A-94f8c9,HealthTech,Basic,False,2587,28,77,1,5,4,10,154
A-8bde0c,DevTools,Basic,False,2388,25,80,1,5,4,10,154
A-9c18c4,HealthTech,Pro,True,2189,18,56,2,4,4,10,244
A-fdfc91,Cybersecurity,Basic,False,2109,42,56,1,4,4,9,144
A-e1b9cd,DevTools,Pro,True,1960,19,80,2,5,4,11,254
A-2bc93d,HealthTech,Basic,False,1715,24,67,1,5,4,10,154
A-417d2f,Cybersecurity,Pro,False,1617,20,71,2,5,4,11,254
