account_id,industry,plan_tier,churn_flag,monetary,recency_days,frequency,recency_score,frequency_score,monetary_score
A-751bd4,Cybersecurity,Pro,False,0,13,10,3,1,1
A-5ed98d,DevTools,Basic,False,0,16,32,2,1,1
A-a1b80b,HealthTech,Basic,False,0,4,72,4,5,1
A-342303,EdTech,Pro,False,0,35,15,1,1,1
A-86fc1d,DevTools,Basic,False,0,1,37,5,2,1
A-b3fe05,Cybersecurity,Pro,False,0,2,43,5,2,1
A-3932db,HealthTech,Pro,True,0,10,46,3,3,1
A-671f31,DevTools,Basic,False,0,6,17,4,1,1
A-3ce5b8,FinTech,Basic,True,0,16,50,2,3,1
A-a1bbb6,DevTools,Basic,False,0,1,37,5,2,1
A-1b9609,EdTech,Enterprise,False,0,41,47,1,3,1
A-ccabf0,HealthTech,Pro,False,0,1,50,5,3,1
A-b07b56,DevTools,Pro,True,0,2,64,5,5,1
A-9f0b68,EdTech,Basic,False,0,4,70,4,5,1
A-4a267b,FinTech,Pro,False,0,36,50,1,3,1
A-9208f0,EdTech,Pro,True,0,20,53,2,3,1
A-331424,DevTools,Basic,False,0,29,20,1,1,1
A-f03140,DevTools,Pro,False,0,1,57,5,4,1
A-4bfa33,Cybersecurity,Basic,False,0,5,36,4,2,1
A-ab438f,Cybersecurity,Enterprise,True,0,6,36,4,2,1
A-95b24a,FinTech,Pro,True,0,0,62,5,4,1
A-8ae05d,FinTech,Enterprise,False,0,7,20,4,1,1
A-940b8b,HealthTech,Basic,False,0,64,35,1,2,1
A-fb186e,EdTech,Basic,False,0,64,20,1,1,1
A-5fe118,Cybersecurity,Enterprise,False,0,12,21,3,1,1
A-f9cc74,DevTools,Enterprise,False,0,0,50,5,3,1
A-337bc1,Cybersecurity,Pro,False,0,26,43,1,2,1
A-d535f6,DevTools,Basic,True,0,6,47,4,3,1
A-9077b0,HealthTech,Basic,False,0,43,46,1,3,1
A-7988d1,Cybersecurity,Basic,False,0,8,46,3,3,1
A-6c093d,DevTools,Basic,False,0,1,64,5,5,1
A-c7e58b,HealthTech,Pro,False,0,42,34,1,1,1
A-1d5444,Cybersecurity,Basic,True,0,10,59,3,4,1
A-1b707d,Cybersecurity,Enterprise,False,0,18,38,2,2,1
A-18793f,EdTech,Basic,False,0,19,48,2,3,1
A-fa2041,HealthTech,Pro,False,0,5,61,4,4,1
A-cc98bc,DevTools,Basic,False,0,7,53,4,3,1
A-508199,FinTech,Basic,False,0,38,24,1,1,1
A-44dc83,EdTech,Basic,False,0,83,24,1,1,1
A-5a92e7,HealthTech,Pro,False,0,7,85,4,5,1
A-bbc346,FinTech,Enterprise,False,0,8,62,3,4,1
A-69fad4,FinTech,Basic,True,0,16,39,2,2,1
A-019782,DevTools,Enterprise,False,0,11,55,3,3,1
A-c37601,EdTech,Basic,False,0,24,48,2,3,1
A-524364,DevTools,Enterprise,False,0,99,26,1,1,1
A-bf7919,HealthTech,Pro,False,0,39,26,1,1,1
A-186a44,HealthTech,Enterprise,False,0,34,61,1,4,1
